population,candidate,season,team_id,team_name,adjustment_bin,expected_rank_adjustment,location_adjustment,candidate_minus_h_nll
same_all_context,same_full_c,2018,103,Boston College,5-10,6.827415925579558,0.2671287286905768,-0.02469699352847954
same_all_context,same_full_c,2018,12,Arizona,0-5,3.5854445948268747,0.1249463863882258,0.1018885497137072
same_all_context,same_full_c,2018,127,Michigan State,10-20,12.763372901124981,0.8030526162410998,1.113731409403468
same_all_context,same_full_c,2018,130,Michigan,5-10,9.774999682972936,0.5015443458779634,-0.3344336598232025
same_all_context,same_full_c,2018,135,Minnesota,0-5,2.377049754812951,0.09849792863074484,-0.026833715250455192
same_all_context,same_full_c,2018,142,Missouri,0-5,1.8190602003945457,0.05191405983723851,-0.05758929151800807
same_all_context,same_full_c,2018,145,Ole Miss,10-20,11.610171835178939,0.4647958263727495,0.3874773253845225
same_all_context,same_full_c,2018,150,Duke,20+,29.890783687954833,1.2914167460517056,-0.1460103763260836
same_all_context,same_full_c,2018,152,NC State,5-10,9.942604426273792,0.4394182608900217,-0.054515993749864045
same_all_context,same_full_c,2018,154,Wake Forest,0-5,2.965180019635845,0.1293197030157815,-0.06347333158745005
same_all_context,same_full_c,2018,158,Nebraska,0-5,2.9220416124684547,0.1272923006595701,-0.10478695216410916
same_all_context,same_full_c,2018,164,Rutgers,0-5,4.353508021029597,0.156165737342326,-0.005615666260875507
same_all_context,same_full_c,2018,166,New Mexico State,0-5,2.1445694055389737,0.14741314536615557,0.1638431737415078
same_all_context,same_full_c,2018,167,New Mexico,5-10,6.599794675835227,0.330896177253058,0.14789441973698114
same_all_context,same_full_c,2018,183,Syracuse,0-5,2.8679825091266764,0.10549516560958197,0.36269870960723427
same_all_context,same_full_c,2018,193,Miami (OH),10-20,11.531189157081513,0.51449376748081,-0.1934518740944995
same_all_context,same_full_c,2018,195,Ohio,10-20,13.561705817937636,0.5415034678950439,-0.20325878695029687
same_all_context,same_full_c,2018,197,Oklahoma State,0-5,4.631208830208106,0.3034704675793156,-0.2192686016649299
same_all_context,same_full_c,2018,2,Auburn,10-20,11.667886667284936,1.0020210430208607,0.8717367064270736
same_all_context,same_full_c,2018,2005,Air Force,5-10,7.2207698413064705,0.2887600752445966,0.09184475929083735
same_all_context,same_full_c,2018,201,Oklahoma,0-5,4.69736211582148,0.5367097316403218,0.2826445448139898
same_all_context,same_full_c,2018,202,Tulsa,0-5,2.081607864943564,0.09741428023524373,0.11501043916737519
same_all_context,same_full_c,2018,2032,Arkansas State,0-5,2.224203272006264,0.10393425613329693,-0.09421638505264696
same_all_context,same_full_c,2018,204,Oregon State,0-5,1.9216990743850602,0.06074010104349614,-0.052748608967861266
same_all_context,same_full_c,2018,2050,Ball State,10-20,19.681859794284705,1.0796274392451188,0.2183414199624969
same_all_context,same_full_c,2018,2084,Buffalo,5-10,8.177053549856026,0.38473736590575613,-0.30957656317409565
same_all_context,same_full_c,2018,21,San Diego State,0-5,4.110367724439264,0.18345802098114583,-0.14156332085289858
same_all_context,same_full_c,2018,2116,UCF,0-5,3.4781029474679244,0.14758369590558218,-0.13821722089281252
same_all_context,same_full_c,2018,213,Penn State,5-10,5.845558633838952,0.38232726015349705,0.02810508439757964
same_all_context,same_full_c,2018,2132,Cincinnati,0-5,2.072544177353919,0.07110889740386686,0.23501431995060607
same_all_context,same_full_c,2018,2199,Eastern Michigan,0-5,1.647075147682159,0.08593616078568167,0.048684781284119794
same_all_context,same_full_c,2018,221,Pittsburgh,0-5,0.8688707244262375,0.05035612708191278,-0.07112321732976579
same_all_context,same_full_c,2018,2226,Florida Atlantic,0-5,3.7224706401227934,0.14546027173494752,0.05244492652348143
same_all_context,same_full_c,2018,2229,Florida International,5-10,5.304858496647128,0.21463693865864109,0.08901663807915661
same_all_context,same_full_c,2018,2247,Georgia State,5-10,5.5239324708725235,0.32155080477659936,0.2316543337199395
same_all_context,same_full_c,2018,228,Clemson,5-10,8.950585975066456,0.9316219801230536,-0.9625550203905713
same_all_context,same_full_c,2018,2294,Iowa,10-20,14.227972214721742,0.8245065146611255,-0.010553055024291602
same_all_context,same_full_c,2018,23,San José State,10-20,17.957897109201724,0.9729624796716975,0.7028556629011802
same_all_context,same_full_c,2018,2309,Kent State,5-10,7.7474010495981815,0.46747945215445386,0.5443743077985816
