season,cutoff,anchor_family,method,team_id,team_name,rated,games_played,rank,probability
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,1,0.0034791058936919864
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,2,0.003769111135225844
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,3,0.004060024509046468
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,4,0.004349473828534976
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,5,0.004635204595202997
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,6,0.004915138385395744
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,7,0.00518742168204392
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,8,0.005450463451184135
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,9,0.005702960476366904
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,10,0.005943910194121364
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,11,0.006172611462836013
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,12,0.006388654298661008
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,13,0.006591900090689172
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,14,0.006782454143052305
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,15,0.0069606325771460085
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,16,0.0071269256692978325
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,17,0.007281959614597553
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,18,0.007426458520397389
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,19,0.007561208171209305
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,20,0.007687022799254187
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,21,0.007804715768856884
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,22,0.007915074761659546
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,23,0.008018841751849708
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,24,0.008116697799601657
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,25,0.008209252474889338
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,26,0.00829703755631198
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,27,0.008380504530322363
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,28,0.008460025342089917
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,29,0.008535895844460406
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,30,0.008608341403200923
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,31,0.008677523618411098
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,32,0.008743547509777239
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,33,0.008806469239793186
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,34,0.008866304351383037
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,35,0.00892303622215157
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,36,0.008976624453476006
2026,2026-09-06T17:34:56.895103+00:00,context,prior_stripping,2,Auburn,True,1,37,0.009027012956936288
