dimension,bucket,count,median_pmf_tv,p95_pmf_tv,median_abs_expected_rank_difference,median_games_played,median_unique_opponents,median_opponent_anchor_posterior_tv_sum,median_opponent_anchor_posterior_tv_max,median_context_interval_80_width
season_phase,early,1068,0.0037113412873375825,0.08797449588809433,0.12089002582812469,1.5,1.5,0.0719267125770898,0.047080984012338414,83.0
season_phase,late,1068,0.08773273119825314,0.2027695238881672,2.6653178953910075,12.0,12.0,1.2045131393319986,0.24280862186064472,35.0
season_phase,mid,1602,0.0671661293308725,0.16533688994772058,2.5084991918102055,7.0,7.0,0.6638445930432739,0.2059195503936661,44.0
games_played_bucket,0,501,0.0,5.811323644522304e-17,0.0,0.0,0.0,0.0,0.0,107.0
games_played_bucket,1-3,530,0.03377279793471567,0.09722420715562234,1.975068238073554,3.0,3.0,0.225727454788064,0.13967591001326315,67.0
games_played_bucket,4-6,597,0.05419339513533984,0.13071594754287294,2.340081717917286,5.0,5.0,0.4522682280913798,0.18502110802281255,51.0
games_played_bucket,7+,2110,0.08056577640852311,0.1921979164431525,2.661344883665823,10.0,10.0,0.9617672877628931,0.22197647498006837,37.0
unique_opponents_bucket,0,501,0.0,5.811323644522304e-17,0.0,0.0,0.0,0.0,0.0,107.0
unique_opponents_bucket,1-3,530,0.03377279793471567,0.09722420715562234,1.975068238073554,3.0,3.0,0.225727454788064,0.13967591001326315,67.0
unique_opponents_bucket,4-6,597,0.05419339513533984,0.13071594754287294,2.340081717917286,5.0,5.0,0.4522682280913798,0.18502110802281255,51.0
unique_opponents_bucket,7+,2110,0.08056577640852311,0.1921979164431525,2.661344883665823,10.0,10.0,0.9617672877628931,0.22197647498006837,37.0
opponent_anchor_tv_sum_quartile,Q1,935,5.767955557622884e-17,0.04533892655844073,0.0,0.0,0.0,0.0,0.0,104.0
opponent_anchor_tv_sum_quartile,Q2,934,0.04065814473843057,0.09073553510421915,1.6905643486034236,5.0,5.0,0.4441530184424721,0.1602998204079552,47.0
opponent_anchor_tv_sum_quartile,Q3,935,0.07005286762810646,0.12306504560166824,2.454052533212149,9.0,9.0,0.8045006284161672,0.2067794378748542,39.0
opponent_anchor_tv_sum_quartile,Q4,934,0.14383132818427535,0.20843287217712916,4.925556640025885,11.0,11.0,1.7114268970197304,0.29367328408125903,35.0
opponent_anchor_tv_max_quartile,Q1,935,5.767955557622884e-17,0.03827930007291722,0.0,0.0,0.0,0.0,0.0,104.0
opponent_anchor_tv_max_quartile,Q2,934,0.04328773729922819,0.078821286151779,1.7057581981137915,7.0,7.0,0.5039757096652079,0.14785633974643964,43.0
opponent_anchor_tv_max_quartile,Q3,935,0.07977093669718974,0.14297541472016514,2.9319765299821157,8.0,8.0,0.833081312361713,0.21818692428968314,40.0
opponent_anchor_tv_max_quartile,Q4,934,0.13943403140039679,0.20843287217712916,5.0141404310194915,10.0,10.0,1.5557236987033813,0.307327918666112,38.0
performance_width_quartile,Q1,935,0.0755393035714104,0.20255710779818464,1.644976669244187,10.0,10.0,0.9394163923693684,0.22134160144112902,22.0
performance_width_quartile,Q2,934,0.0757827543409223,0.18725884106688015,2.7948583574401837,11.0,11.0,0.8904550978228809,0.2159976597782091,39.0
performance_width_quartile,Q3,935,0.06413637604400971,0.157126951122322,3.09090425808985,7.0,7.0,0.6087137651309802,0.19819494579513486,50.0
performance_width_quartile,Q4,934,5.767955557622884e-17,0.09073553510421915,0.0,0.0,0.0,0.0,0.0,104.0
graph_degree_quartile,Q1,935,5.767955557622884e-17,0.07907216035395585,0.0,0.0,0.0,0.0,0.0,104.0
graph_degree_quartile,Q2,934,0.054069661650386396,0.12822868337529222,2.3280716438255524,5.0,5.0,0.4759647091018038,0.18763872517383176,50.0
graph_degree_quartile,Q3,935,0.07935145794048694,0.17523592393582335,2.675163878179049,9.0,9.0,0.8753787859231058,0.21856565754902155,39.0
graph_degree_quartile,Q4,934,0.0954308627169125,0.2052906560424607,2.7809185963841436,12.0,12.0,1.320198519367276,0.24905084296062652,34.0
cycle_exposure_quartile,Q1,935,5.767955557622884e-17,0.07699727520109284,0.0,0.0,0.0,0.0,0.0,104.0
cycle_exposure_quartile,Q2,934,0.05420677458150409,0.12822868337529222,2.33700716598635,5.0,5.0,0.4759647091018038,0.18763872517383176,50.0
cycle_exposure_quartile,Q3,935,0.07935145794048694,0.17523592393582335,2.675163878179049,9.0,9.0,0.8753787859231058,0.21856565754902155,39.0
cycle_exposure_quartile,Q4,934,0.0954308627169125,0.2052906560424607,2.7809185963841436,12.0,12.0,1.320198519367276,0.24905084296062652,34.0
