candidate,feature,standardized_location_coefficient,location_missingness_coefficient,standardized_scale_coefficient
P3,coach_tenure_seasons,-0.08990078962312305,0.4664263240486106,0.0
P3,recruiting_class_rank,0.12689265929879287,0.3410642312423319,0.0
P3,recruiting_class_points,-0.04830256641197564,0.3410642312423319,0.0
P3,recruiting_points_2y_mean,0.13414101102817066,-0.3644487180941747,0.0
P3,recruiting_points_3y_mean,-0.48103652074788805,0.9402084975482791,0.0
P3,recruiting_points_4y_mean,0.11492083337540697,0.35037079342861116,0.0
P3,recruiting_points_trend,0.009111470344108752,-0.2563746915642859,0.0
P3,talent_composite,-0.00941964762838582,-0.047493850914653704,0.0
P3,returning_pct_ppa,-0.20345725579110774,0.0062044441150011205,0.0
P3,transfer_in_prior_usage_sum,-0.03766830325425661,-0.06290622612362835,0.0
P3,transfer_in_prior_defensive_impact_db_sum,-0.006914558388505031,0.0,0.0
P3,transfer_in_prior_defensive_impact_db_available,0.0037109128210687354,0.0,0.0
