target_season,family,feature,standardized_location_coefficient,practical_effect_one_training_sd_z
2008,H_static,lag2_z_mean,0.12682730294676364,0.12682730294676364
2008,H_static,lag3_z_mean,0.002322414556025363,0.002322414556025363
2008,H_static,long_run_z_mean,0.49128637011371384,0.49128637011371384
2008,C_static,lag2_z_mean,0.07469896294579172,0.07469896294579172
2008,C_static,lag3_z_mean,-0.04736586984572868,-0.04736586984572868
2008,C_static,long_run_z_mean,0.3048211632036946,0.3048211632036946
2008,C_static,coach_tenure_seasons,-0.07279286442464018,-0.07279286442464018
2008,C_static,recruiting_class_rank,0.6924875060898797,0.6924875060898797
2008,C_static,recruiting_class_points,0.8035118864018779,0.8035118864018779
2008,C_static,recruiting_points_2y_mean,0.7531881583677468,0.7531881583677468
2008,C_static,recruiting_points_3y_mean,-0.5590538406897011,-0.5590538406897011
2008,C_static,recruiting_points_4y_mean,-0.717727108256098,-0.717727108256098
2008,C_static,recruiting_points_trend,-0.1692115789078427,-0.1692115789078427
2008,C_static,talent_composite,0.0,0.0
2008,C_static,returning_pct_ppa,0.0,0.0
2008,C_static,returning_pct_passing_ppa,0.0,0.0
2008,C_static,returning_pct_receiving_ppa,0.0,0.0
2008,C_static,returning_pct_rushing_ppa,0.0,0.0
2009,H_static,lag2_z_mean,0.10614322501968079,0.10614322501968079
2009,H_static,lag3_z_mean,0.039210394674322975,0.039210394674322975
2009,H_static,long_run_z_mean,0.5226401483754513,0.5226401483754513
2009,C_static,lag2_z_mean,0.06279058724060184,0.06279058724060184
2009,C_static,lag3_z_mean,-0.03386962190164116,-0.03386962190164116
2009,C_static,long_run_z_mean,0.3332144991222141,0.3332144991222141
2009,C_static,coach_tenure_seasons,-0.09495947667881968,-0.09495947667881968
2009,C_static,recruiting_class_rank,0.4014627683303222,0.4014627683303222
2009,C_static,recruiting_class_points,0.5055754216056446,0.5055754216056446
2009,C_static,recruiting_points_2y_mean,0.3446565010460895,0.3446565010460895
2009,C_static,recruiting_points_3y_mean,-0.5759388602765084,-0.5759388602765084
2009,C_static,recruiting_points_4y_mean,-0.2494920875832087,-0.2494920875832087
2009,C_static,recruiting_points_trend,-0.04990078574542562,-0.04990078574542562
2009,C_static,talent_composite,0.0,0.0
2009,C_static,returning_pct_ppa,0.0,0.0
2009,C_static,returning_pct_passing_ppa,0.0,0.0
2009,C_static,returning_pct_receiving_ppa,0.0,0.0
2009,C_static,returning_pct_rushing_ppa,0.0,0.0
2010,H_static,lag2_z_mean,0.07336985514027602,0.07336985514027602
2010,H_static,lag3_z_mean,0.09481239286420105,0.09481239286420105
2010,H_static,long_run_z_mean,0.4627712125941896,0.4627712125941896
2010,C_static,lag2_z_mean,0.05346218092567851,0.05346218092567851
2010,C_static,lag3_z_mean,0.04542747758061048,0.04542747758061048
2010,C_static,long_run_z_mean,0.22442004538049115,0.22442004538049115
2010,C_static,coach_tenure_seasons,-0.09059745096102771,-0.09059745096102771
2010,C_static,recruiting_class_rank,0.272734073708518,0.272734073708518
2010,C_static,recruiting_class_points,0.18375521508473303,0.18375521508473303
2010,C_static,recruiting_points_2y_mean,0.05232605292627792,0.05232605292627792
2010,C_static,recruiting_points_3y_mean,-0.3086100128169218,-0.3086100128169218
2010,C_static,recruiting_points_4y_mean,-0.026263263602302373,-0.026263263602302373
2010,C_static,recruiting_points_trend,0.011989594336202803,0.011989594336202803
2010,C_static,talent_composite,0.0,0.0
2010,C_static,returning_pct_ppa,0.0,0.0
2010,C_static,returning_pct_passing_ppa,0.0,0.0
2010,C_static,returning_pct_receiving_ppa,0.0,0.0
2010,C_static,returning_pct_rushing_ppa,0.0,0.0
2011,H_static,lag2_z_mean,0.00534600894790858,0.00534600894790858
2011,H_static,lag3_z_mean,0.09366600958749369,0.09366600958749369
2011,H_static,long_run_z_mean,0.5054971919177761,0.5054971919177761
2011,C_static,lag2_z_mean,-0.017445618597197524,-0.017445618597197524
2011,C_static,lag3_z_mean,0.030337442199090153,0.030337442199090153
2011,C_static,long_run_z_mean,0.28098247690464406,0.28098247690464406
2011,C_static,coach_tenure_seasons,-0.08427205869810202,-0.08427205869810202
2011,C_static,recruiting_class_rank,0.4211974777284393,0.4211974777284393
2011,C_static,recruiting_class_points,0.3630760677946342,0.3630760677946342
2011,C_static,recruiting_points_2y_mean,-0.004263296818760898,-0.004263296818760898
2011,C_static,recruiting_points_3y_mean,-0.3827457333995004,-0.3827457333995004
2011,C_static,recruiting_points_4y_mean,0.05340769128232359,0.05340769128232359
2011,C_static,recruiting_points_trend,0.003238757575882575,0.003238757575882575
2011,C_static,talent_composite,0.0,0.0
2011,C_static,returning_pct_ppa,0.0,0.0
2011,C_static,returning_pct_passing_ppa,0.0,0.0
2011,C_static,returning_pct_receiving_ppa,0.0,0.0
2011,C_static,returning_pct_rushing_ppa,0.0,0.0
2012,H_static,lag2_z_mean,0.02330311506763018,0.02330311506763018
2012,H_static,lag3_z_mean,0.09539802581913,0.09539802581913
2012,H_static,long_run_z_mean,0.4431111518692819,0.4431111518692819
2012,C_static,lag2_z_mean,-0.0012723418363173337,-0.0012723418363173337
2012,C_static,lag3_z_mean,0.037913454972433716,0.037913454972433716
2012,C_static,long_run_z_mean,0.21263823021276573,0.21263823021276573
2012,C_static,coach_tenure_seasons,-0.07419989047898076,-0.07419989047898076
2012,C_static,recruiting_class_rank,0.38218998672125776,0.38218998672125776
2012,C_static,recruiting_class_points,0.2886400248095319,0.2886400248095319
2012,C_static,recruiting_points_2y_mean,0.030941630640253008,0.030941630640253008
2012,C_static,recruiting_points_3y_mean,-0.4110834552649888,-0.4110834552649888
2012,C_static,recruiting_points_4y_mean,0.0711774928304479,0.0711774928304479
2012,C_static,recruiting_points_trend,-0.013885557499407489,-0.013885557499407489
2012,C_static,talent_composite,0.0,0.0
2012,C_static,returning_pct_ppa,0.0,0.0
2012,C_static,returning_pct_passing_ppa,0.0,0.0
2012,C_static,returning_pct_receiving_ppa,0.0,0.0
2012,C_static,returning_pct_rushing_ppa,0.0,0.0
2013,H_static,lag2_z_mean,0.013508941424006903,0.013508941424006903
2013,H_static,lag3_z_mean,0.11972085844874715,0.11972085844874715
2013,H_static,long_run_z_mean,0.3982049453531272,0.3982049453531272
2013,C_static,lag2_z_mean,0.0009369929634175748,0.0009369929634175748
2013,C_static,lag3_z_mean,0.06505580480635208,0.06505580480635208
2013,C_static,long_run_z_mean,0.14755153013107716,0.14755153013107716
2013,C_static,coach_tenure_seasons,-0.057932511638135335,-0.057932511638135335
2013,C_static,recruiting_class_rank,0.2552181166222727,0.2552181166222727
2013,C_static,recruiting_class_points,0.11733315489043963,0.11733315489043963
2013,C_static,recruiting_points_2y_mean,0.03470103248572554,0.03470103248572554
2013,C_static,recruiting_points_3y_mean,-0.46054934456732444,-0.46054934456732444
2013,C_static,recruiting_points_4y_mean,0.15693469724992862,0.15693469724992862
2013,C_static,recruiting_points_trend,0.010217858343517018,0.010217858343517018
2013,C_static,talent_composite,0.0,0.0
2013,C_static,returning_pct_ppa,0.0,0.0
2013,C_static,returning_pct_passing_ppa,0.0,0.0
2013,C_static,returning_pct_receiving_ppa,0.0,0.0
2013,C_static,returning_pct_rushing_ppa,0.0,0.0
2014,H_static,lag2_z_mean,0.0006678155512087185,0.0006678155512087185
