season,position_group,position_group_label,incoming_transfers,resolved_player_impacts,unresolved_player_impacts,resolved_impact_fraction,experience_mass_coverage_proxy,resolved_experience_mass,recoverable_experience_mass_proxy,impact_mass_coverage_proxy,impact_mass_coverage_proxy_available,team_seasons,team_seasons_complete,team_seasons_no_incoming,team_seasons_unresolved,team_seasons_observed,fraction_team_seasons_observed
2021,dl_edge,DL / EDGE,110,76,34,0.6909090909090909,0.9756745878725643,32.08741813741814,32.88741813741814,,False,130,41,59,30,100,0.7692307692307693
2021,lb,LB,86,50,36,0.5813953488372093,0.856300235272317,17.234532134532135,20.126739926739926,,False,130,28,74,28,102,0.7846153846153846
2021,db,DB,166,112,54,0.6746987951807228,0.9541311294625293,43.17841047841048,45.254168054168055,,False,130,44,39,47,83,0.6384615384615384
2022,dl_edge,DL / EDGE,168,121,47,0.7202380952380952,0.8802175946404993,39.78537851037851,45.19948107448108,,False,131,53,41,37,94,0.7175572519083969
2022,lb,LB,118,80,38,0.6779661016949152,0.8923410850092468,32.81433288933289,36.77330724830725,,False,131,43,52,36,95,0.7251908396946565
2022,db,DB,198,146,52,0.7373737373737373,0.967261756566147,63.44667277167277,65.59410866910866,,False,131,56,34,41,90,0.6870229007633588
2023,dl_edge,DL / EDGE,213,147,66,0.6901408450704225,0.9139518269766065,57.32052947052947,62.717232767232765,,False,133,42,45,46,87,0.6541353383458647
2023,lb,LB,136,108,28,0.7941176470588235,0.8841211797000968,48.76163836163836,55.152664002664004,,False,133,56,51,26,107,0.8045112781954887
2023,db,DB,284,218,66,0.7676056338028169,0.9592246115514883,83.74224109224109,87.30201465201465,,False,133,61,26,46,87,0.6541353383458647
2024,dl_edge,DL / EDGE,369,264,105,0.7154471544715447,0.9182620771604737,105.24948384948385,114.61813186813187,,False,134,50,19,65,69,0.5149253731343284
2024,lb,LB,177,145,32,0.8192090395480226,0.9681915376534371,60.3467476967477,62.32934842934843,,False,134,59,48,27,107,0.7985074626865671
2024,db,DB,438,364,74,0.8310502283105022,0.9728955599836189,140.14145854145855,144.0457375957376,,False,134,69,12,53,81,0.6044776119402985
2025,dl_edge,DL / EDGE,559,407,152,0.7280858676207513,0.9123452395250196,140.64675324675324,154.15957375957376,,False,136,47,9,80,56,0.4117647058823529
2025,lb,LB,219,168,51,0.7671232876712328,0.9298686508759255,72.13504828504828,77.57552447552447,,False,136,58,40,38,98,0.7205882352941176
2025,db,DB,602,481,121,0.7990033222591362,0.980155114387727,179.3379662004662,182.96896436896438,,False,136,53,10,73,63,0.4632352941176471
